id,displayName,ability
Mutt,똥개,"성능 구림 (조합 실패 시 무조건 등장), 공격력 -10%, 속도 -10%"
BunnyDog,바니견,속도가 빨라진다(30%)
StoneBed,-1장수돌침대,"별을 쏘기 시작한다(공격력 40%상승, 방어력 40% 상승)"
KungFuDogBoy,견법소년,3초에 한 번씩 강한 공격을 한다
SmilingPup,개죽이,치명적인 미소로 원하는 순간 적을 3초간 멈추게 만든다
FashionistaDog,패셔니스타견,공격 속도가 1.5배 빨라진다
LupinDog,루광견,적 처치 시 아이템 드롭 확률 상승
RomanticDog,낭만견,적과 충돌 시 2번 완전 방어된다
Surprise,서프라이즈!,3초간 상자에서 무차별 공격이 발사된다 (쿨타임 12초)
StinkyTofuDog,취두부견,"이동 경로에 악취 웅덩이 생성, 밟은 적 지속 데미지"
SantaDog,산타견,랜덤 위치에 폭발 상자 3개 투하
StargazerDog,별을 헤매는 견,하늘에서 별인형이 떨어진다. 충돌 시 적 즉사
PandoraParcel,판도라 택배,상자 열면 랜덤 효과 (강화/회복 중 하나) (쿨타임 15초)
ChargeDog,돌진견,"전방에서 오는 원거리 공격 3회 반사, 공격한 적의 HP 감소"
PsychoDog,싸패견,공격력이 10% 증가
SneakyOuting,수상한 외출,10초간 이속 대폭 상승 + 접촉한 적 밀어내기 + 공격력 3% 증가
Treasure,보물,보물을 지키기 위해 공격력이 5% 증가한다
Mailman,우편배달부,"지정한 적에게 폭발 택배를 정확히 배달, -50% 데미지"
GreatWallDog,만리장성견,"5초간 바리케이드 생성, 적 충돌 시 데미지 30% 감소"
PanWhack,후라이깡,"근접 타격, 적과 특정 거리 도달 시 근접 공격 -40% 데미지"
MilkHater,이런우유는싫어요,"랜덤으로 우유 폭탄 발사, 적 이동속도 15% 감소"
MightyPepper,작은 고추가 강하다,"전방 부채꼴 매운 안개, 적 공격력 대폭 감소"
ScoopBack,퍼담아!,"적의 투사체를 쳐서 되돌림, 맞출시 데미지 150% 증가"
FoilArmor,은박갑옷,5초간 받는 데미지 50% 감소
PoisonChef,독요리사,타격한 적이 5초간 동료 적을 공격함 (혼란)
FlamePan,화염팬,"근접 타격이 화상 부여, 3초간 지속 데미지"
Biohazard,생화학무기,자기 주변 넓은 범위 지속 데미지 장판 8초
SatelliteDish,위성안테나,10초간 적 전원 위치 표시 + 가장 먼 적에게 자동 공격
PercussionDog,타악기견,"3초간 주변에 리듬 충격파, 박자마다 적 넉백"
SpicyFoilGrill,매운은박구이,"설치형 함정, 밟은 적 즉시 경직 + 방어력 감소"
LockBreaker,자물쇠깨기,보스 방어막 무시하고 직접 타격 가능 (10초)
UltimateStench,역대급악취,맵 전체 적 이동속도 30% 감소 15초간
SpicyRain,매운비,"하늘에서 고추냉이 비가 내림, 전체 적 지속 데미지 3초(-10%), 쿨타임 20초"
