id,resultName,resultEn,ingredients,ability,notes
00,똥개,Mutt,,"성능 구림 (조합 실패 시 무조건 등장), 공격력 -10%, 속도 -10%","조합 실패 시 fallback / 적 아이템아이템 드랍률 +15%, 공격 수동"
01,적토견,RedHareDog,당근인형;삼국지 책,시야가 가려지는 대신 공격력 대폭 상승(50%),
02,바니견,BunnyDog,당근인형;별,속도가 빨라진다(30%),
03,-1장수돌침대,StoneBed,별;별;별;별,"별을 쏘기 시작한다(공격력 40%상승, 방어력 40% 상승)",
04,견법소년,KungFuDogBoy,별;성수병;하트,3초에 한 번씩 강한 공격을 한다,
05,개죽이,SmilingPup,대나무,치명적인 미소로 원하는 순간 적을 3초간 멈추게 만든다,
06,패셔니스타견,FashionistaDog,짝짝이 양말,공격 속도가 1.5배 빨라진다,
07,루광견,LupinDog,녹슨 열쇠,적 처치 시 아이템 드롭 확률 상승,
08,낭만견,RomanticDog,찢어진 우산;실과 바늘,적과 충돌 시 2번 완전 방어된다,
09,서프라이즈!,Surprise,택배상자,3초간 상자에서 무차별 공격이 발사된다 (쿨타임 12초),
10,취두부견,StinkyTofuDog,냄새나는 양말;찢어진 우산,"이동 경로에 악취 웅덩이 생성, 밟은 적 지속 데미지",
11,산타견,SantaDog,짝짝이 양말;택배상자,랜덤 위치에 폭발 상자 3개 투하,
12,별을 헤매는 견,StargazerDog,녹슨 열쇠;별,하늘에서 별인형이 떨어진다. 충돌 시 적 즉사,
13,판도라 택배,PandoraParcel,녹슨 열쇠;택배상자,상자 열면 랜덤 효과 (강화/회복 중 하나) (쿨타임 15초),
14,돌진견,ChargeDog,찢어진 우산;택배상자,"전방에서 오는 원거리 공격 3회 반사, 공격한 적의 HP 감소",
15,싸패견,PsychoDog,짝짝이 잘 맞는 양말;썬글라스,공격력이 10% 증가,
16,수상한 외출,SneakyOuting,짝짝이 양말;시든꽃;찢어진 우산,10초간 이속 대폭 상승 + 접촉한 적 밀어내기 + 공격력 3% 증가,
17,보물,Treasure,짝짝이 양말;녹슨 열쇠;택배상자,보물을 지키기 위해 공격력이 5% 증가한다,
18,우편배달부,Mailman,찢어진 우산;택배상자;녹슨 열쇠,"지정한 적에게 폭발 택배를 정확히 배달, -50% 데미지",1회 사용 후 일반 강아지로
19,만리장성견,GreatWallDog,짝짝이 양말;녹슨 열쇠;찢어진 우산;택배상자,"5초간 바리케이드 생성, 적 충돌 시 데미지 30% 감소",1회 사용 후 일반 강아지로
20,후라이깡,PanWhack,프라이팬,"근접 타격, 적과 특정 거리 도달 시 근접 공격 -40% 데미지",
21,이런우유는싫어요,MilkHater,유통기한 지난 우유,"랜덤으로 우유 폭탄 발사, 적 이동속도 15% 감소",
